Tip_Label,Family_Semi-open,Habitat_Density,Migration,Dev_Mod_all,Dev_Mod_no_family_order,Habitat,Trophic_Niche,Primary_Lifestyle,Mass
Accipiter_nisus,Accipitridae,Dense,Semi-migratory,Semi-precocial,Semi-precocial,Forest,Vertivore,Insessorial,220.8
Acrocephalus_arundinaceus,Sylviidae,Open,Migratory,Altricial,Altricial,Wetland,Invertivore,Insessorial,30
Aegotheles_cristatus,Aegothelidae,Semi-open,Sedentary,Semi-precocial,Semi-precocial,Woodland,Invertivore,Insessorial,42.8
Aegypius_monachus,Accipitridae,Semi-open,Sedentary,Semi-precocial,Semi-precocial,Forest,Scavenger,Terrestrial,9320.5
Alcedo_atthis,Alcedinidae,Semi-open,Sedentary,Altricial,Altricial,Riverine,Aquatic_predator,Insessorial,31.1
Alectura_lathami,Megapodiidae,Dense,Sedentary,Precocial,Precocial,Forest,Omnivore,Terrestrial,2333.1
Amazilia_tzacatl,Trochilidae,Dense,Sedentary,Altricial,Altricial,Forest,Nectarivore,Aerial,4.8
Amazona_guildingii,Psittacidae,Dense,Sedentary,Altricial,Altricial,Forest,Omnivore,Insessorial,646
Anas_platyrhynchos,Anatidae,Open,Semi-migratory,Precocial,Precocial,Wetland,Herbivore_aquatic,Aquatic,843.4
Anhinga_anhinga,Anhingidae,Open,Sedentary,Altricial,Altricial,Wetland,Aquatic_predator,Aquatic,1235
Anser_anser,Anatidae,Open,Migratory,Precocial,Precocial,Wetland,Herbivore_terrestrial,Terrestrial,3302.4
Anseranas_semipalmata,Anseranatidae,Open,Semi-migratory,Semi-precocial,Semi-precocial,Wetland,Omnivore,Terrestrial,2393.4
Grus_virgo,Gruidae,Open,Migratory,Semi-precocial,Semi-precocial,Grassland,Omnivore,Terrestrial,2417
Lugensa_brevirostris,Procellariidae,Open,Semi-migratory,Semi-precocial,Semi-precocial,Marine,Aquatic_predator,Generalist,357
Aptenodytes_forsteri,Spheniscidae,Open,Semi-migratory,Semi-precocial,Semi-precocial,Marine,Aquatic_predator,Aquatic,33569.3
Apteryx_australis,Apterygidae,Dense,Sedentary,Semi-precocial,Semi-precocial,Forest,Invertivore,Terrestrial,2320.5
Apus_apus,Apodidae,Dense,Migratory,Altricial,Altricial,Human_Modified,Invertivore,Aerial,37.6
Aquila_chrysaetos,Accipitridae,Open,Semi-migratory,Semi-precocial,Semi-precocial,Grassland,Vertivore,Aerial,4248
Aramus_guarauna,Aramidae,Open,Sedentary,Precocial,Precocial,Wetland,Aquatic_predator,Terrestrial,1080
Archilochus_colubris,Trochilidae,Semi-open,Migratory,Altricial,Altricial,Woodland,Nectarivore,Generalist,3.1
Casmerodius_albus,Ardeidae,Open,Semi-migratory,Semi-precocial,Semi-precocial,Wetland,Aquatic_predator,Terrestrial,871.3
Ardea_purpurea,Ardeidae,Open,Migratory,Semi-precocial,Semi-precocial,Wetland,Aquatic_predator,Terrestrial,1064.5
Ardeotis_australis,Otididae,Open,Sedentary,Precocial,NA,Grassland,Omnivore,Terrestrial,4182.4
Asio_otus,Strigidae,Semi-open,Semi-migratory,Altricial,Altricial,Forest,Vertivore,Aerial,296.6
