"","x"
"Accipiter_nisus",419.089122955136
"Acrocephalus_arundinaceus",290.445469110621
"Aegotheles_cristatus",338.3423647534
"Aegypius_monachus",1211.01082785254
"Alcedo_atthis",347.82394621396
"Rhopocichla_atriceps",237.823885668692
"Alectura_lathami",554.851477862597
"Amazilia_tzacatl",236.749878035615
"Amazona_guildingii",584.151018078035
"Anas_platyrhynchos",745.789297016981
"Anhinga_anhinga",742.86982559334
"Anser_anser",992.84118293789
"Anseranas_semipalmata",879.469379931021
"Grus_virgo",886.825507436641
"Caprimulgus_carolinensis",459.424999142024
"Aptenodytes_forsteri",1436.0572485017
"Apteryx_australis",1022.58303787081
"Apus_apus",255.025026889839
"Aquila_chrysaetos",967.768516347764
"Aramus_guarauna",938.418537990016
"Archilochus_colubris",184.809593536719
"Casmerodius_albus",1029.98827236063
"Ardea_purpurea",1091.5030799801
"Ardeotis_australis",1040.04930130959
"Asio_otus",580.72500835215
"Atelornis_pittoides",404.017170967403
"Athene_noctua",397.930906108151
"Aulacorhynchus_haematopygus",615.11898369476
"Aythya_valisineria",774.471119602995
"Balaeniceps_rex",1763.83870419579
"Balearica_pavonina",939.234917780261
"Balearica_regulorum",909.621058514003
"Barnardius_zonarius",427.766395485419
"Baryphthengus_martii",570.413274285398
"Baryphthengus_ruficapillus",524.135889347858
"Bombycilla_cedrorum",264.660711195226
"Bombycilla_garrulus",291.60072735747
"Bonasa_umbellus",468.044207228288
"Brachypteracias_leptosomus",553.747796137213
"Branta_canadensis",918.595141417773
"Bubo_bubo",839.108635588848
"Bubulcus_ibis",660.957889349415
"Bucco_capensis",409.774246614645
"Buceros_rhinoceros",1241.06826099619
"Bucorvus_abyssinicus",1503.2583215249
"Buphagus_erythrorhynchus",279.845527602597
"Burhinus_bistriatus",703.060385636058
"Burhinus_oedicnemus",617.421921861325
"Buteo_buteo",659.91917770709
"Cacatua_alba",662.928688562852
"Calcarius_lapponicus",228.573441363404
"Calandrella_rufescens",216.156422691366
"Calonectris_diomedea",716.312271821874
"Calyptomena_viridis",339.211209000331
"Campylorhamphus_trochilirostris",400.735100960575
"Capito_niger",334.464594795707
"Caprimulgus_aegyptius",362.983738137049
"Caprimulgus_europaeus",329.158100853787
"Caprimulgus_macrurus",366.178643475128
"Cardinalis_cardinalis",281.879202212043
"Cariama_cristata",829.579268179821
"Casuarius_bennetti",1338.93826337759
"Casuarius_unappendiculatus",1537.64932773099
"Cathartes_aura",753.797834741309
"Catharus_fuscescens",273.571524576375
"Celeus_flavescens",334.270942147459
"Centropus_phasianinus",504.407857113119
"Cephalopterus_ornatus",688.291710194993
"Cepphus_grylle",551.8324924488
"Pipra_rubrocapilla",206.419369137183
"Megaceryle_alcyon",541.921655487783
"Chaetura_pelagica",215.749954579752
"Charadrius_vociferus",352.982960560031
"Chauna_chavaria",705.767143866795
"Chelidoptera_tenebrosa",274.94962671625
"Chionis_albus",464.985034514475
"Chlamydotis_undulata",743.370382859108
"Chlidonias_niger",361.987222547598
"Chloroceryle_aenea",283.525189387969
"Chloropsis_aurifrons",288.528972388168
"Chordeiles_minor",325.163109696679
"Larus_philadelphia",508.535378329186
"Chauna_torquata",725.808898578101
"Chunga_burmeisteri",769.776356992267
"Strix_nigrolineata",620.174096187397
"Ciconia_ciconia",1405.96269061542
"Ciconia_maguari",1497.61699437919
"Cichladusa_guttata",279.64298980653
"Cinclus_mexicanus",327.843853560056
"Cisticola_cantans",221.648382171633
"Clamator_glandarius",405.074330016967
"Climacteris_rufus",260.906632047385
"Cnemophilus_loriae",375.572157106947
"Colinus_virginianus",315.506907656634
"Colius_striatus",244.481458392832
"Colluricincla_harmonica",358.577885248199
"Columba_livia",377.054200573765
"Columbina_passerina",216.731469183621
"Conopophaga_ardesiaca",268.567394687255
"Coracias_benghalensis",453.311405975413
"Coracina_novaehollandiae",428.517827114185
"Corvus_brachyrhynchos",597.192374465198
"Corvus_corone",618.501403792158
"Corythaeola_cristata",623.898103154203
"Coturnix_coturnix",278.156475593218
"Coua_gigas",541.097416476413
"Crax_rubra",819.531290028917
"Crypturellus_cinereus",438.620975007377
"Cuculus_canorus",352.625783286142
"Cuculus_pallidus",364.493743464877
"Culicicapa_ceylonensis",187.518244484571
"Cursorius_cursor",426.643836346811
"Cygnus_cygnus",1303.88017220902
"Dendrocygna_arcuata",626.906496822866
"Dendroica_petechia",203.540745962208
"Deroptyus_accipitrinus",518.015301185136
"Dicaeum_ignipectus",177.154251282729
"Dicrurus_macrocercus",320.164590524869
"Dicrurus_megarhynchus",457.965904768412
"Diomedea_exulans",1671.96396396851
"Phoebastria_nigripes",1141.15278110931
"Donacobius_atricapilla",319.137225432964
"Dromaius_novaehollandiae",1221.38893044451
"Dromas_ardeola",640.233110503418
"Drymodes_brunneopygia",278.438405445921
"Dryocopus_pileatus",599.556322246787
"Dulus_dominicus",274.870054663031
"Egretta_garzetta",732.33088103126
"Emberiza_cirlus",228.823961841427
"Eubucco_bourcierii",277.134445483408
"Eudocimus_ruber",881.608702964798
"Eudromia_elegans",471.248565289044
"Eurostopodus_macrotis",421.073698425191
"Eurylaimus_ochromalus",308.351960230218
"Eurypyga_helias",659.93011432675
"Eurystomus_gularis",412.032003266524
"Eutoxeres_condamini",260.694774457654
"Falco_peregrinus",573.763000620265
"Formicarius_analis",328.672137781349
"Formicarius_rufipectus",357.698590300256
"Fratercula_arctica",549.827158430821
"Fregata_magnificens",1041.83583114898
"Fregata_minor",933.5960330538
"Fulmarus_glacialis",728.121144877425
"Furnarius_rufus",323.149915446095
"Galbula_dea",377.352337924961
"Galbula_ruficauda",321.813022380125
"Gallinula_chloropus",420.354998271015
"Gallus_gallus",639.432101960375
"Gampsonyx_swainsonii",330.61590748165
"Garrulax_galbanus",332.303208787456
"Garrulus_glandarius",460.352857460875
"Gavia_stellata",773.767750439017
"Geococcyx_californianus",637.667222291146
"Geospiza_fortis",264.851248669138
"Geospiza_fuliginosa",209.989657527734
"Grallaria_ruficapilla",374.136476440519
"Grus_americana",1353.91456575227
"Grus_antigone",1620.22978472729
"Gymnorhina_tibicen",563.246275517605
"Gyps_fulvus",1129.93805289527
"Haematopus_ostralegus",650.917763919467
"Todiramphus_pyrrhopygius",417.507664640984
"Haliaeetus_albicilla",974.737362006834
"Haliaeetus_leucocephalus",978.109645771442
"Hemiprocne_mystacea",326.440906421445
"Himantopus_himantopus",636.136708814397
"Himantopus_mexicanus",574.794908030015
"Hirundo_rustica",220.845247543802
"Hylia_prasina",209.668885742864
"Hymenops_perspicillatus",263.250814236985
"Ibycter_americanus",602.222106567766
"Indicator_indicator",285.43289427651
"Indicator_maculatus",269.546860936172
"Irena_puella",347.486147069531
"Ixobrychus_minutus",557.68693546259
"Jacana_spinosa",412.720905558505
"Jynx_torquilla",269.246478489712
"Lanius_ludovicianus",326.516226382543
"Larus_marinus",985.498019000829
"Leiothrix_lutea",255.064504641648
"Leptoptilos_dubius",1866.36640599128
"Leptotila_verreauxi",345.206831337051
"Leucopsar_rothschildi",385.675895994795
"Limosa_lapponica",735.88357550837
"Locustella_naevia",219.310899353158
"Lophorina_superba",375.330529844677
"Lorius_lory",456.455593708782
"Loxia_leucoptera",234.656634589857
"Megalaima_haemacephala",288.737184802663
"Melanocharis_versteri",209.55125829783
"Meleagris_gallopavo",847.969819610019
"Meliphaga_lewinii",331.447007219823
"Melopsittacus_undulatus",212.950569506564
"Menura_novaehollandiae",691.272339207055
"Merops_nubicus",350.013914596389
"Merops_viridis",316.473642059595
"Mesembrinibis_cayennensis",807.261066217762
"Micrastur_semitorquatus",576.698137767513
"Micropsitta_bruijnii",176.289260543559
"Micropygia_schomburgkii",239.851006808133
"Anodorhynchus_leari",826.096140400189
"Momotus_momota",485.533298311859
"Monias_benschi",412.802385384032
"Motacilla_alba",244.390124342899
"Musophaga_violacea",483.445996673799
"Myiagra_hebetior",286.899803135379
"Neophron_percnopterus",764.451909762729
"Nestor_notabilis",712.535059985123
"Nicator_chloris",302.998286642738
"Nothoprocta_ornata",464.576782914395
"Numenius_arquata",975.397668850455
"Numida_meleagris",480.314618403321
"Nyctibius_grandis",788.913902429803
"Nyctibius_griseus",624.542821135058
"Nycticorax_nycticorax",916.322569571885
"Rostratula_semicollaris",394.062706309605
"Oceanodroma_tethys",246.743676084426
"Odontophorus_capueira",427.462178744924
"Odontophorus_gujanensis",392.436035963555
"Oenanthe_oenanthe",243.583897912615
"Opisthocomus_hoazin",471.41574109132
"Oriolus_oriolus",371.355548042756
"Ortalis_motmot",568.638316687252
"Otis_tarda",1079.03091681841
"Oxylabes_madagascariensis",251.800251129509
"Oxyura_jamaicensis",586.788253181233
"Pachycephala_philippinensis",262.705517792743
"Pachyramphus_minor",290.15657168659
"Pandion_haliaetus",642.942974131226
"Paradisaea_raggiana",438.147330262834
"Paradisaea_rudolphi",453.745626576527
"Paradisaea_minor",460.353684179888
"Pardalotus_striatus",197.526671234528
"Passer_domesticus",208.851787811535
"Pelagodroma_marina",303.829529354302
"Pelecanoides_georgicus",346.129896068111
"Pelecanoides_urinatrix",371.655993166723
"Pelecanus_occidentalis",2309.10429598634
"Penelope_purpurascens",703.682847799434
"Perdix_perdix",363.067423073462
"Pernis_apivorus",643.027889532985
"Phaethon_aethereus",766.125090604086
"Phaethon_lepturus",652.352472691644
"Phaethornis_superciliosus",350.268838888317
"Phainopepla_nitens",230.674362427702
"Phalacrocorax_carbo",930.322518277094
"Phalcoboenus_australis",725.227319068988
"Philepitta_castanea",281.997343377503
"Phoenicopterus_ruber",1041.32723429022
"Phoeniculus_bollei",331.405737331839
"Phylloscopus_ruficapilla",202.540472110161
"Picoides_pubescens",227.979956317528
"Picus_viridis",494.814926165259
"Pipilo_chlorurus",244.620074805236
"Pitta_sordida",345.708415118816
"Platalea_ajaja",1164.24209436187
"Platalea_leucorodia",1332.43328250606
"Plectrophenax_nivalis",236.238116159379
"Ploceus_nigricollis",244.869296793785
"Pluvialis_squatarola",472.575926725549
"Pluvianellus_socialis",302.836902350974
"Pluvianus_aegyptius",346.87630097395
"Podargus_strigoides",670.04749027719
"Podiceps_cristatus",682.824878811997
"Parus_atricapillus",185.838512692231
"Porphyrio_porphyrio",529.167653145403
"Porzana_atra",356.179219481112
"Probosciger_aterrimus",953.614694484102
"Prunella_modularis",224.026267561427
"Psarocolius_wagleri",527.989311874077
"Psittacus_erithacus",548.780543940699
"Psophia_crepitans",642.806921030771
"Pterocles_gutturalis",362.010797350914
"Lugensa_brevirostris",588.959862879483
"Pterodroma_macroptera",646.839577963756
"Ptilinopus_roseicapilla",319.549812972574
"Ptilonorhynchus_violaceus",473.224386268316
"Puffinus_puffinus",544.339153699697
"Pygoscelis_adeliae",940.155993844511
"Quiscalus_mexicanus",396.337143040286
"Ramphastos_sulfuratus",786.337207395859
"Recurvirostra_avosetta",566.73541249991
"Regulus_satrapa",171.382153729476
"Rhea_americana",1317.45644689572
"Rhinoptilus_africanus",337.248890217908
"Rhipidura_albicollis",212.606624268169
"Bucanetes_githagineus",224.267041072054
"Rhynchocyclus_brevirostris",277.667107545498
"Rhynchotus_rufescens",556.963455284382
"Rollulus_rouloul",364.272998584165
"Rostratula_benghalensis",500.263697296822
"Rupicola_peruvianus",514.595654914239
"Sagittarius_serpentarius",991.086901419563
"Sakesphorus_luctuosus",299.081601632521
"Saltator_albicollis",291.108654150104
"Sarcoramphus_papa",933.224280571668
"Scopus_umbretta",675.496159174786
"Scytalopus_magellanicus",219.519008360566
"Semnornis_ramphastinus",372.450004598859
"Sericulus_chrysocephalus",405.487083397282
"Sitta_europaea",256.117147949362
"Smithornis_capensis",268.954090588974
"Spheniscus_humboldti",892.795454819569
"Spizella_passerina",188.847698029112
"Stachyris_whiteheadi",246.543112074063
"Steatornis_caripensis",530.067078692202
"Stercorarius_parasiticus",587.859304067747
"Sterna_hirundo",461.311173401541
"Streptoprocne_semicollaris",352.21607419532
"Strix_aluco",589.451472499862
"Struthidea_cinerea",366.438633734525
"Struthio_camelus",1563.88423519849
"Sturnus_unicolor",370.392000231319
"Morus_bassanus",1143.04778796762
"Sula_dactylatra",1057.19470936908
"Sylvietta_leucophrys",198.160220658611
"Taeniopygia_guttata",171.102037994116
"Tangara_schrankii",223.152032951113
"Tapera_naevia",318.648389005409
"Tauraco_erythrolophus",434.802534273577
"Ruwenzorornis_johnstoni",425.736756357174
"Tetrao_urogallus",967.233352384982
"Thalassarche_chlororhynchos",1121.58582373429
"Theristicus_caerulescens",1132.90381214497
"Thinocorus_orbignyianus",275.916593220297
"Threskiornis_aethiopicus",1053.97317933876
"Thryothorus_ludovicianus",239.793748560554
"Tigrisoma_lineatum",1049.69322553826
"Tockus_erythrorhynchus",503.569559345161
"Toxostoma_redivivum",412.200208263586
"Treron_curvirostra",320.815791502384
"Illadopsis_cleaveri",276.27311037991
"Tringa_totanus",434.525253048628
"Trogon_viridis",374.559055149073
"Turdus_merula",354.275245104366
"Turdus_philomelos",330.97113014716
"Turnix_suscitator",253.573765842062
"Turnix_velox",225.408214872294
"Tyrannus_savana",273.537319877262
"Tyrannus_tyrannus",286.254395329348
"Tyto_alba",548.327009099469
"Upupa_epops",395.077716212851
"Uria_aalge",702.251156053256
"Vanellus_vanellus",444.7258039444
"Vanga_curvirostris",412.22105495662
"Vidua_macroura",180.479377625963
"Vireo_olivaceus",244.309426875242
"Vultur_gryphus",1207.43690357182
"Bernieria_zosterops",259.832025947228
"Xenicus_gilviventris",241.849328125788
"Yuhina_brunneiceps",201.281791418078
"Zonotrichia_albicollis",240.515771520125
"Zosterops_fuscicapilla",195.615281083743
